Test,Loc,Year,Genotype,Code,Rep,Plot,Oil,Protein,Protein_Plus_Oil
Jay Test 2,CLA,2020,N18-1661,8,2,32,20.92,45.13,66.05
Jay Test 2,CLA,2020,N18-1661,8,3,41,21.06,44.58,65.64
Jay Test 2,CLA,2020,N18-1661,8,4,69,21.66,44.12,65.78
Jay Test 2,CLA,2020,N18-1761,9,1,14,18.88,50,68.88
Jay Test 2,CLA,2020,N18-1761,9,2,31,18.29,50.56,68.85
Jay Test 2,CLA,2020,N18-1761,9,3,48,18.28,50.43,68.71
Jay Test 2,CLA,2020,N18-1761,9,4,70,18.69,49.57,68.26
Jay Test 2,CLA,2020,N18-1820,10,1,15,21.33,43.61,64.94
Jay Test 2,CLA,2020,N18-1820,10,2,28,20.36,46.51,66.87
Jay Test 2,CLA,2020,N18-1820,10,3,55,21.84,44.81,66.65
Jay Test 2,CLA,2020,N18-1820,10,4,65,22.37,43.23,65.6
Jay Test 2,CLA,2020,N18-1586,11,1,17,20.17,47.02,67.19
Jay Test 2,CLA,2020,N18-1586,11,2,21,20.13,47.75,67.88
Jay Test 2,CLA,2020,N18-1586,11,3,60,20.28,47.31,67.59
Jay Test 2,CLA,2020,N18-1586,11,4,68,20.25,46.51,66.76
Jay Test 2,CLA,2020,N18-1577,12,1,19,19.35,49.61,68.96
Jay Test 2,CLA,2020,N18-1577,12,2,35,18.11,50.35,68.46
Jay Test 2,CLA,2020,N18-1577,12,3,45,19.07,49.38,68.45
Jay Test 2,CLA,2020,N18-1577,12,4,78,18.97,49.32,68.29
Jay Test 2,CLA,2020,N18-1627,13,1,4,20.03,47.29,67.32
Jay Test 2,CLA,2020,N18-1627,13,2,37,19.91,46.94,66.85
Jay Test 2,CLA,2020,N18-1627,13,3,58,20.71,45.22,65.93
Jay Test 2,CLA,2020,N18-1627,13,4,80,19.75,46.61,66.36
Jay Test 2,CLA,2020,N18-1783,14,1,7,21.26,46.09,67.35
Jay Test 2,CLA,2020,N18-1783,14,2,30,19.92,47.96,67.88
Jay Test 2,CLA,2020,N18-1783,14,3,56,21.28,44.96,66.24
Jay Test 2,CLA,2020,N18-1783,14,4,62,20.23,46.83,67.06
Jay Test 2,CLA,2020,N18-1769,15,1,5,19.1,48.83,67.93
Jay Test 2,CLA,2020,N18-1769,15,2,38,18.93,49,67.93
Jay Test 2,CLA,2020,N18-1769,15,3,46,19.11,48.96,68.07
Jay Test 2,CLA,2020,N18-1769,15,4,66,20.27,47.62,67.89
Jay Test 2,CLA,2020,Osage,16,1,12,21.05,45.75,66.8
Jay Test 2,CLA,2020,Osage,16,3,49,20.95,45.27,66.22
Jay Test 2,CLA,2020,Osage,16,4,64,21.87,43.93,65.8
Jay Test 2,CLA,2020,Ellis,17,1,18,20.96,43.13,64.09
Jay Test 2,CLA,2020,Ellis,17,2,23,21.15,43.19,64.34
Jay Test 2,CLA,2020,Ellis,17,3,54,21.19,43.42,64.61
Jay Test 2,CLA,2020,Ellis,17,4,67,22.4,41.83,64.23
Jay Test 2,CLA,2020,Dunphy,18,1,10,21.18,42.45,63.63
Jay Test 2,CLA,2020,Dunphy,18,2,25,22.54,40.78,63.32
Jay Test 2,CLA,2020,Dunphy,18,3,50,21.58,41.56,63.14
Jay Test 2,CLA,2020,Dunphy,18,4,77,22.16,42.4,64.56
Jay Test 2,CLA,2020,N09-09,19,1,13,19.56,46.45,66.01
Jay Test 2,CLA,2020,N09-09,19,2,33,18.43,48.27,66.7
Jay Test 2,CLA,2020,N09-09,19,3,57,19.74,46.12,65.86
Jay Test 2,CLA,2020,N09-09,19,4,71,18.92,47.77,66.69
Jay Test 2,CLA,2020,N10-687,20,1,11,19.7,45.09,64.79
Jay Test 2,CLA,2020,N10-687,20,2,24,19.91,44.07,63.98
Jay Test 2,CLA,2020,N10-687,20,3,52,19.56,45.65,65.21
Jay Test 2,CLA,2020,N10-687,20,4,74,19.65,45.04,64.69
