Test,Loc,Year,Genotype,Code,Rep,Plot,FC,MD,AgScore,PB,HT,DET,LOD,Yield,SDWT,Estimated_Seed_Count,Oil,Protein,Protein_Plus_Oil
Yield Test 3,Ply,2019,N18-1990,39,1,5,P,54,2.5,T,38,I,2,2677.78963,16.3,7402.453988,22.33,45.53,67.86
Yield Test 3,Ply,2019,N18-1990,39,2,47,P,51,2.5,T,33,I,2.5,2658.259919,15.4,7777.922078,22.46,45.44,67.9
Yield Test 3,Ply,2019,N18-1990,39,3,98,P,51,3.5,T,39,I,3.5,2382.624687,NA,NA,22.58,45.14,67.72
Yield Test 3,Ply,2019,N18-1991,40,1,18,P,51,2.5,T,39,I,2,2389.282542,19.5,5521.025641,20.16,48.9,69.06
Yield Test 3,Ply,2019,N18-1991,40,2,74,P,43,2,T,35,I,2,2320.484698,19.4,5389.690722,21.02,48.01,69.03
Yield Test 3,Ply,2019,N18-1991,40,3,94,P,51,3.5,T,42,I,3,2361.541476,NA,NA,NA,NA,NA
Yield Test 4,Ply,2019,Dilday,89,1,7,P,54,2.5,G,43,I,3,3196.214674,17.5,8229.714286,23.59,40.52,64.11
Yield Test 4,Ply,2019,Dilday,89,2,50,P,52,2.5,G,39,D,3,2989.599213,16.8,8018.452381,23.83,39.53,63.36
Yield Test 4,Ply,2019,Dilday,89,3,97,P,62,3.5,G,40,I,3.5,2911.7023,NA,NA,23.6,40.49,64.09
Yield Test 4,Ply,2019,Dunphy,88,1,10,P,51,2,G,31,D,2.5,3373.757497,15.6,9744.871795,22.54,41.04,63.58
Yield Test 4,Ply,2019,Dunphy,88,2,71,P,51,2,G,28,D,1.5,3108.330976,15.7,8921.019108,23.03,40.33,63.36
Yield Test 4,Ply,2019,Dunphy,88,3,104,P,52,2,T,32,D,2,2879.078806,NA,NA,21.7,42.57,64.27
Yield Test 4,Ply,2019,LMN09-19,86,1,34,S,59,2.5,T,40,I,2.5,2481.382882,18.9,5915.873016,19.55,49.93,69.48
Yield Test 4,Ply,2019,LMN09-19,86,2,85,S,54,2.5,G,44,I,2,2449.869031,18.2,6065.384615,20.23,48.76,68.99
Yield Test 4,Ply,2019,LMN09-19,86,3,110,P,59,3,G,46,I,2,2682.228201,NA,NA,19,49.74,68.74
Yield Test 4,Ply,2019,N.C. Raleigh,90,1,28,W,53,2,T,41,D,2,3347.348002,12.9,11692.24806,23.81,41.18,64.99
Yield Test 4,Ply,2019,N.C. Raleigh,90,2,49,W,57,2,T,42,D,2,3004.468425,13.6,9954.411765,24.1,40.48,64.58
Yield Test 4,Ply,2019,N.C. Raleigh,90,3,102,W,55,2,T,40,I,2,3081.477624,NA,NA,23.64,40.53,64.17
Yield Test 4,Ply,2019,N13-47,87,1,36,P,52,3.5,T,41,I,3,2310.054058,13.8,7542.753623,24.99,40.31,65.3
Yield Test 4,Ply,2019,N13-47,87,2,70,P,51,3,T,41,I,3,2516.447589,13.4,8461.940299,25.64,38.77,64.41
Yield Test 4,Ply,2019,N13-47,87,3,128,P,51,3.5,T,40,D,4,3065.276842,NA,NA,25.88,37.77,63.65
Yield Test 4,Ply,2019,N18-1831,46,1,23,P,53,4,T,34,I,4,2786.090752,18.9,6642.328042,20.79,47.58,68.37
Yield Test 4,Ply,2019,N18-1831,46,2,56,P,51,2.5,T,32,I,1.5,2255.015782,17.7,5740.677966,20.87,48.23,69.1
Yield Test 4,Ply,2019,N18-1831,46,3,131,P,57,4.5,T,39,I,4,2158.254944,NA,NA,20.04,47.65,67.69
Yield Test 4,Ply,2019,N18-1832,47,1,13,P,52,2,G,45,I,2,3004.246496,17.1,7916.374269,22.64,43.84,66.48
Yield Test 4,Ply,2019,N18-1832,47,2,52,P,63,3,T,46,I,2.5,2562.164866,18.5,6240.540541,23.29,43.65,66.94
Yield Test 4,Ply,2019,N18-1832,47,3,108,P,52,3.5,G,47,I,3.5,3078.148696,NA,NA,22.83,44.09,66.92
Yield Test 4,Ply,2019,N18-1839,48,1,16,P,56,2,T,44,I,2,2589.018218,10.5,11110.47619,21.59,44.93,66.52
Yield Test 4,Ply,2019,N18-1839,48,2,54,P,59,2,T,42,D,2.5,2611.433,10.4,11314.42308,21.96,44.48,66.44
Yield Test 4,Ply,2019,N18-1839,48,3,133,P,50,3.5,T,34,D,4,2686.666771,NA,NA,21.94,43.91,65.85
Yield Test 4,Ply,2019,N18-1841,49,1,35,P,53,3,T,35,D,2.5,2831.364172,20.4,6253.921569,23.03,42.81,65.84
Yield Test 4,Ply,2019,N18-1841,49,2,55,P,55,2.5,T,34,I,2.5,2619.200498,20.2,5842.574257,22.65,43.14,65.79
Yield Test 4,Ply,2019,N18-1841,49,3,126,P,54,3,T,44,I,3,3085.250409,NA,NA,22.34,42.5,64.84
Yield Test 4,Ply,2019,N18-1842,50,1,24,P,52,3,T,36,I,3,2440.769961,19.7,5582.741117,21.42,46.97,68.39
Yield Test 4,Ply,2019,N18-1842,50,2,53,P,51,2.5,T,45,I,2.5,2679.565058,19.5,6191.794872,21.45,45.73,67.18
Yield Test 4,Ply,2019,N18-1842,50,3,103,P,52,2.5,T,44,I,2.5,2512.896733,NA,NA,20.75,47.2,67.95
Yield Test 4,Ply,2019,N18-1846,51,1,27,P,60,2.5,T,44,D,2,2379.07383,18.8,5702.12766,21.17,44.76,65.93
Yield Test 4,Ply,2019,N18-1846,51,2,80,P,60,2.5,T,40,D,2,2499.581021,20.6,5467.475728,22.32,42.98,65.3
Yield Test 4,Ply,2019,N18-1846,51,3,129,P,57,3.5,T,42,I,3,2455.195316,NA,NA,22,42.2,64.2
Yield Test 4,Ply,2019,N18-1849,52,1,1,P,52,3.5,T,32,I,3.5,2619.200498,13.7,8614.59854,23.38,41.14,64.52
Yield Test 4,Ply,2019,N18-1849,52,2,78,P,59,3,T,45,I,2.5,2587.686647,14.2,8211.267606,23.3,41.8,65.1
Yield Test 4,Ply,2019,N18-1849,52,3,106,P,51,3.5,T,44,D,3,2814.497604,NA,NA,23.04,41.47,64.51
Yield Test 4,Ply,2019,N18-1850,53,1,5,P,53,2.5,T,46,I,3,2357.768691,13.8,7698.550725,21.35,45.89,67.24
Yield Test 4,Ply,2019,N18-1850,53,2,76,P,50,2.5,T,44,I,2.5,2049.731893,15.2,6076.315789,21.8,45.89,67.69
Yield Test 4,Ply,2019,N18-1850,53,3,115,P,48,4,T,33,I,4,2643.16878,NA,NA,21.53,45.93,67.46
Yield Test 4,Ply,2019,N18-1851,54,1,42,P,52,3,G,44,I,3,2447.205888,16.1,6849.068323,20.36,47.36,67.72
Yield Test 4,Ply,2019,N18-1851,54,2,73,P,52,2,G,44,I,2,2419.020965,15.5,7032.258065,20.61,46.8,67.41
Yield Test 4,Ply,2019,N18-1851,54,3,127,P,52,3.5,G,38,D,3,2543.300941,NA,NA,20.5,46.91,67.41
Yield Test 4,Ply,2019,N18-1859,55,1,25,P,52,3,G,38,D,3,2674.460702,15.9,7579.245283,22.57,44.11,66.68
Yield Test 4,Ply,2019,N18-1859,55,2,59,P,52,2.5,T,40,D,2.5,2247.026355,17.9,5656.424581,22.83,44.1,66.93
Yield Test 4,Ply,2019,N18-1859,55,3,120,P,51,4,G,40,D,3.5,1752.347664,NA,NA,23.07,43.29,66.36
Yield Test 4,Ply,2019,N18-1868,56,1,30,P,53,3,T,38,I,3,2599.670788,15.8,7413.924051,20.53,47.53,68.06
Yield Test 4,Ply,2019,N18-1868,56,2,51,P,60,2,T,36,I,2,2421.684108,15.1,7226.490066,20.84,47.6,68.44
Yield Test 4,Ply,2019,N18-1868,56,3,109,P,54,3.5,G,41,D,3,2423.681464,NA,NA,20.64,48.39,69.03
Yield Test 4,Ply,2019,N18-1871,57,1,11,P,64,3.5,T,43,D,3,2530.429087,17,6707.058824,23.71,42.58,66.29
Yield Test 4,Ply,2019,N18-1871,57,2,81,P,60,2.5,T,38,D,2,2526.87823,17.9,6360.893855,24.18,41.64,65.82
Yield Test 4,Ply,2019,N18-1871,57,3,111,P,55,3,T,43,D,2,2152.040945,NA,NA,23.49,42.74,66.23
Yield Test 4,Ply,2019,N18-1876,58,1,33,P,54,4,T,41,I,4,2425.90075,19.6,5577.040816,21.21,46.93,68.14
Yield Test 4,Ply,2019,N18-1876,58,2,88,P,55,2.5,T,50,I,3,2607.438286,19.9,5904.020101,21.36,46.97,68.33
Yield Test 4,Ply,2019,N18-1876,58,3,98,P,54,3.5,T,40,I,3.5,2403.485968,NA,NA,21.6,46.6,68.2
Yield Test 4,Ply,2019,N18-1878,59,1,44,P,62,3.5,T,28,I,3.5,2174.011869,19.2,5102.083333,21.25,46.81,68.06
Yield Test 4,Ply,2019,N18-1878,59,2,48,P,56,3.5,T,43,I,3,2158.476872,19.2,5065.625,21.28,46.43,67.71
Yield Test 4,Ply,2019,N18-1878,59,3,119,P,59,4,T,48,I,4,2081.245744,NA,NA,21.08,45.91,66.99
Yield Test 4,Ply,2019,N18-1880,60,1,39,P,52,3.5,G,36,I,3.5,2211.961648,15.8,6308.227848,21.35,44.77,66.12
Yield Test 4,Ply,2019,N18-1880,60,2,77,P,61,2.5,T,45,D,2.5,2314.492628,17.8,5858.988764,21.81,43.79,65.6
Yield Test 4,Ply,2019,N18-1880,60,3,91,P,55,3,G,45,I,3,2341.567909,NA,NA,22.19,43.19,65.38
Yield Test 4,Ply,2019,N18-1889,61,1,15,P,52,3.5,T,47,I,3,2517.779161,16.9,6713.017751,21.11,47.91,69.02
Yield Test 4,Ply,2019,N18-1889,61,2,65,P,62,3.5,T,38,I,3,1940.764985,16.6,5268.072289,21.72,48.33,70.05
Yield Test 4,Ply,2019,N18-1889,61,3,117,P,56,3.5,G,42,I,3.5,2326.698697,NA,NA,21.21,48.2,69.41
Yield Test 4,Ply,2019,N18-1890,62,1,18,P,58,3,T,44,I,3,3113.879189,17.6,7972.159091,21.57,45.26,66.83
Yield Test 4,Ply,2019,N18-1890,62,2,89,P,57,2.5,G,44,I,2,2664.030061,18.1,6632.044199,22.07,44.98,67.05
Yield Test 4,Ply,2019,N18-1890,62,3,118,P,59,3,T,45,I,3,2937.667937,NA,NA,23.06,43.57,66.63
Yield Test 4,Ply,2019,N18-1891,63,1,19,P,51,2.5,T,46,I,3,2508.014305,19.9,5678.894472,20.68,47.8,68.48
Yield Test 4,Ply,2019,N18-1891,63,2,63,P,49,2.5,T,44,I,2.5,2500.912592,20.1,5606.467662,20.45,48.67,69.12
Yield Test 4,Ply,2019,N18-1891,63,3,124,P,59,4,T,44,I,3.5,2199.755579,NA,NA,21.25,47.61,68.86
Yield Test 4,Ply,2019,N18-1892,64,1,17,P,46,4,T,24,I,4,2148.490089,16.3,5939.263804,21.91,44.45,66.36
Yield Test 4,Ply,2019,N18-1892,64,2,90,P,58,2.5,T,39,D,3,2363.760762,16.3,6534.355828,22.78,43.15,65.93
Yield Test 4,Ply,2019,N18-1892,64,3,101,P,56,4,T,38,D,3.5,2715.739408,NA,NA,21.6,44.58,66.18
Yield Test 4,Ply,2019,N18-1897,65,1,20,P,56,3,T,30,I,3,2436.775248,17.2,6383.72093,22.11,45.98,68.09
Yield Test 4,Ply,2019,N18-1897,65,2,67,P,52,3,T,46,I,3,2195.09508,17.3,5717.34104,22.32,46.6,68.92
Yield Test 4,Ply,2019,N18-1897,65,3,93,P,63,3,G,34,I,2.5,2449.203245,NA,NA,22.38,46.7,69.08
Yield Test 4,Ply,2019,N18-1899,66,1,22,P,56,3,T,44,I,2,2357.768691,17.2,6176.744186,18.4,49.68,68.08
Yield Test 4,Ply,2019,N18-1899,66,2,46,P,51,2.5,T,42,I,2.5,2243.25357,17.7,5710.734463,19.08,50.91,69.99
Yield Test 4,Ply,2019,N18-1899,66,3,123,P,58,3.5,G,44,I,3.5,2626.52414,NA,NA,20.18,48.32,68.5
Yield Test 4,Ply,2019,N18-1902,67,1,3,P,58,3.5,T,44,D,3,2334.022339,20.2,5206.435644,21.36,46.86,68.22
Yield Test 4,Ply,2019,N18-1902,67,2,82,P,52,3,T,38,I,2.5,2068.151961,19.8,4706.565657,21.81,46.74,68.55
Yield Test 4,Ply,2019,N18-1902,67,3,96,P,64,3,T,44,I,3,2396.162327,NA,NA,21.47,46.98,68.45
Yield Test 4,Ply,2019,N18-1904,68,1,26,P,60,2,T,34,I,2,2715.295551,17.6,6951.704545,22.61,43.78,66.39
Yield Test 4,Ply,2019,N18-1904,68,2,74,P,59,2.5,T,44,I,2.5,2543.744799,16.9,6782.248521,21.94,44.3,66.24
Yield Test 4,Ply,2019,N18-1904,68,3,113,P,61,3.5,G,44,D,3,2897.720802,NA,NA,21.84,43.9,65.74
Yield Test 4,Ply,2019,N18-1911,69,1,32,P,55,2.5,T,38,D,2.5,2592.347146,16.6,7036.746988,21.25,47.47,68.72
Yield Test 4,Ply,2019,N18-1911,69,2,64,P,56,2,T,43,I,2,2560.389438,16.1,7165.838509,21.57,47.37,68.94
Yield Test 4,Ply,2019,N18-1911,69,3,135,P,55,3.5,T,38,D,3,2686.666771,NA,NA,21.74,46.77,68.51
Yield Test 4,Ply,2019,N18-1916,70,1,37,P,62,3.5,T,24,I,3,2654.265206,16.8,7119.047619,22.3,44.19,66.49
Yield Test 4,Ply,2019,N18-1916,70,2,69,P,60,3,T,43,I,2,2794.080179,18.9,6661.375661,22.46,44.43,66.89
Yield Test 4,Ply,2019,N18-1916,70,3,130,P,69,3.5,G,40,D,3.5,2531.538729,NA,NA,23.56,41.43,64.99
Yield Test 4,Ply,2019,N18-1918,71,1,38,P,49,2,T,41,D,2,2543.52287,17.6,6511.931818,22.67,42.41,65.08
Yield Test 4,Ply,2019,N18-1918,71,2,57,P,54,2,T,42,I,2,1894.159994,18.3,4663.934426,21.97,44.06,66.03
Yield Test 4,Ply,2019,N18-1918,71,3,114,P,48,2.5,T,45,D,2.5,2382.624687,NA,NA,21.79,43.61,65.4
Yield Test 4,Ply,2019,N18-1921,72,1,9,P,55,2.5,G,44,D,2.5,2650.270492,15.7,7606.369427,20.79,47.81,68.6
Yield Test 4,Ply,2019,N18-1921,72,2,79,P,57,2,G,45,I,2,2460.965457,15.8,7018.35443,21.13,46.75,67.88
Yield Test 4,Ply,2019,N18-1921,72,3,116,P,61,3,G,36,D,3,3240.822308,NA,NA,21.02,46.65,67.67
Yield Test 4,Ply,2019,N18-1924,73,1,43,P,59,2,T,43,I,2,2087.237815,16.8,5598.214286,21.21,45.94,67.15
Yield Test 4,Ply,2019,N18-1924,73,2,61,P,53,2.5,T,40,I,2.5,2498.027522,16.7,6740.11976,22.4,45.26,67.66
Yield Test 4,Ply,2019,N18-1924,73,3,125,P,63,3,T,42,D,2.5,2730.386691,NA,NA,21.51,45.63,67.14
Yield Test 4,Ply,2019,N18-1930,74,1,41,P,57,2,T,40,D,2,2868.870093,18,7181.666667,23.67,40.64,64.31
Yield Test 4,Ply,2019,N18-1930,74,2,47,P,65,2.5,T,30,D,2.5,2580.806863,17,6840.588235,22.78,42.13,64.91
Yield Test 4,Ply,2019,N18-1930,74,3,100,P,62,3,G,44,D,3,2817.382675,NA,NA,23.09,41.22,64.31
Yield Test 4,Ply,2019,N18-1948,75,1,29,P,61,3,T,45,I,3,2786.978466,18.1,6938.121547,20.34,49.12,69.46
Yield Test 4,Ply,2019,N18-1948,75,2,62,P,56,2.5,T,44,I,2,2450.534816,18.8,5873.404255,20.35,49.16,69.51
Yield Test 4,Ply,2019,N18-1948,75,3,105,P,57,2,G,42,I,2.5,2551.290369,NA,NA,20.21,48.62,68.83
Yield Test 4,Ply,2019,N18-1956,76,1,21,P,52,3,T,40,I,2.5,2583.248077,15.7,7414.012739,24.15,42.27,66.42
Yield Test 4,Ply,2019,N18-1956,76,2,58,P,58,2.5,T,44,I,3,2762.122471,17.1,7278.362573,24.06,42.35,66.41
Yield Test 4,Ply,2019,N18-1956,76,3,95,P,52,3,T,42,I,3,2374.191402,NA,NA,23.39,43.02,66.41
Yield Test 4,Ply,2019,N18-1965,77,1,2,P,64,2.5,T,44,I,2.5,2674.904559,17.7,6809.60452,21.79,46.48,68.27
Yield Test 4,Ply,2019,N18-1965,77,2,66,P,62,2.5,T,44,I,2,2146.492732,16.6,5826.506024,22.62,46.99,69.61
Yield Test 4,Ply,2019,N18-1965,77,3,94,P,56,3,T,46,I,3,2527.987873,NA,NA,22.1,46.6,68.7
Yield Test 4,Ply,2019,N18-1967,78,1,14,P,60,2.5,T,44,D,3,2700.204411,16.5,7373.939394,23.69,42.46,66.15
Yield Test 4,Ply,2019,N18-1967,78,2,75,P,58,2,T,44,I,2,2552.843868,17,6766.470588,23.79,42.43,66.22
Yield Test 4,Ply,2019,N18-1967,78,3,132,P,62,3.5,T,42,I,3.5,2427.010392,NA,NA,24.94,38.9,63.84
Yield Test 4,Ply,2019,N18-1970,79,1,6,P,53,3.5,T,44,I,3.5,2138.725233,16.2,5948.765432,22.51,44.92,67.43
Yield Test 4,Ply,2019,N18-1970,79,2,84,P,59,3,T,36,I,2.5,2212.405505,16.2,6153.703704,23.24,43.63,66.87
Yield Test 4,Ply,2019,N18-1970,79,3,112,P,52,3.5,T,45,I,3.5,2507.570448,NA,NA,22.74,44.51,67.25
Yield Test 4,Ply,2019,N18-1971,80,1,8,P,58,3.5,T,38,I,3.5,2470.952241,14.4,7731.944444,21.55,48.16,69.71
Yield Test 4,Ply,2019,N18-1971,80,2,60,P,52,3.5,T,44,I,3,2280.537563,15.4,6672.727273,21.66,46.95,68.61
Yield Test 4,Ply,2019,N18-1971,80,3,92,P,52,3.5,G,41,D,3,2159.586515,NA,NA,20.86,48.47,69.33
Yield Test 4,Ply,2019,N18-1973,81,1,45,P,54,3,T,47,D,3,2675.348416,18.6,6481.182796,23.88,42.97,66.85
Yield Test 4,Ply,2019,N18-1973,81,2,72,P,50,3,T,46,I,3,NA,NA,NA,23.83,43.67,67.5
Yield Test 4,Ply,2019,N18-1973,81,3,99,P,57,3.5,T,40,D,3.5,2240.590428,NA,NA,23.53,44.36,67.89
Yield Test 4,Ply,2019,N18-1979,82,1,31,P,59,3.5,T,42,D,3.5,3088.13548,13.4,10384.32836,20.98,46.99,67.97
Yield Test 4,Ply,2019,N18-1979,82,2,86,P,56,3,G,44,I,3,2339.570552,13.9,7584.172662,21,47.26,68.26
Yield Test 4,Ply,2019,N18-1979,82,3,121,P,56,3.5,G,30,I,3,2455.195316,NA,NA,21.52,46.08,67.6
Yield Test 4,Ply,2019,N18-1993,83,1,12,P,52,2.5,T,42,D,2.5,2768.558398,14.5,8603.448276,23.17,42.12,65.29
Yield Test 4,Ply,2019,N18-1993,83,2,83,P,51,2.5,T,45,D,2,2622.307498,14.9,7930.201342,23.32,42.19,65.51
Yield Test 4,Ply,2019,N18-1993,83,3,134,P,56,3.5,T,38,D,4,2372.415974,NA,NA,22.84,41.44,64.28
Yield Test 4,Ply,2019,N18-1996,84,1,40,P,53,2.5,T,41,D,2,2830.476458,14.8,8617.567568,22.65,43.47,66.12
Yield Test 4,Ply,2019,N18-1996,84,2,68,P,66,2.5,T,40,I,2.5,2524.215088,16.5,6893.333333,22.86,43.66,66.52
Yield Test 4,Ply,2019,N18-1996,84,3,122,P,64,3,T,40,D,3,2430.33932,NA,NA,22.94,41.87,64.81
Yield Test 4,Ply,2019,N18-1997,85,1,4,P,55,3.5,T,44,I,3.5,2193.319651,13.2,7487.121212,23.03,43.79,66.82
Yield Test 4,Ply,2019,N18-1997,85,2,87,P,52,3,T,37,D,2,2772.77504,17.4,7180.45977,22.6,43.97,66.57
Yield Test 4,Ply,2019,N18-1997,85,3,107,P,58,3,T,41,D,2.5,2518.001089,NA,NA,22.47,43.76,66.23
Yield Test 1,Cas,2019,N18-1758,30,1,1,P,50,1.5,T,32,D,1.5,1772.765089,15.3,5220.915033,22.51,43.92,66.43
Yield Test 1,Cas,2019,N18-1769,33,1,2,W,48,1.5,T,30,D,1,1818.482366,15.2,5390.789474,21.49,46.95,68.44
Yield Test 1,Cas,2019,N18-1570,2,1,3,P,48,1.5,T,24,D,1.5,2028.204826,15.1,6052.317881,21.38,44.88,66.26
Yield Test 1,Cas,2019,N18-1602,8,1,4,P,49,1.5,T,28,D,1,1793.404442,14.5,5573.103448,22.58,42.27,64.85
Yield Test 1,Cas,2019,Roy,45,1,5,W,50,2.5,G,26,D,1,1610.091477,12.7,5712.598425,22.28,41.46,63.74
Yield Test 1,Cas,2019,N09-09,42,1,6,P,51,1.5,T,30,D,1.5,1949.864055,16.5,5324.848485,21.97,45.43,67.4
Yield Test 1,Cas,2019,N18-1764,32,1,7,P,46,2,T,26,D,1,1292.733681,13,4480.769231,21.86,44.69,66.55
Yield Test 1,Cas,2019,N18-1615,10,1,8,W,49,2,T,26,D,1.5,1525.314779,16.6,4140.361446,22.77,43.8,66.57
Yield Test 1,Cas,2019,N18-1728,27,1,9,W,56,1.5,T,34,D,1.5,1915.243205,14.2,6077.464789,22.71,41.56,64.27
Yield Test 1,Cas,2019,N18-1664,21,1,10,P,49,2,T,28,D,1.5,1617.858976,13.4,5440.298507,21.78,42.91,64.69
Yield Test 1,Cas,2019,N18-1580,4,1,11,P,50,1.5,T,32,D,1.5,1916.574776,13.3,6493.233083,23.83,37.66,61.49
Yield Test 1,Cas,2019,N18-1814,39,1,12,P,48,1.5,T,26,D,1,1445.864366,12.3,5296.747967,22.58,42.98,65.56
Yield Test 1,Cas,2019,N18-1613,9,1,13,W,49,1.5,T,28,D,1,1515.771853,16.5,4139.393939,21.43,43.58,65.01
Yield Test 1,Cas,2019,N18-1587,6,1,14,P,49,2.5,T,27,D,1.5,1749.906451,14.2,5552.816901,21.77,43.51,65.28
Yield Test 1,Cas,2019,N18-1619,12,1,15,P,46,1.5,T,27,D,1.5,1641.605328,16.9,4376.923077,21.3,44.67,65.97
Yield Test 1,Cas,2019,N18-1796,36,1,16,W,49,1.5,T,24,D,1.5,2026.873255,13.4,6815.671642,21.83,45.71,67.54
Yield Test 1,Cas,2019,N18-1627,15,1,17,P,48,1.5,T,26,D,1,2167.354013,16.2,6028.395062,23.39,43.42,66.81
Yield Test 1,Cas,2019,N18-1744,29,1,18,W,48,3,T,22,D,1,1776.759803,13.5,5930.37037,21.22,43.96,65.18
Yield Test 1,Cas,2019,N18-1701,23,1,19,W,50,2,T,30,D,1.5,1401.034803,14.7,4294.557823,21.7,45.83,67.53
Yield Test 1,Cas,2019,N18-1669,22,1,20,P,56,1.5,T,22,D,1,1868.194357,15.5,5430.967742,23.19,40.58,63.77
Yield Test 1,Cas,2019,N18-1659,18,1,21,P,49,1.5,T,24,D,1,1847.555003,13.3,6259.398496,22.21,45.56,67.77
Yield Test 1,Cas,2019,N18-1577,3,1,22,P,50,1.5,T,32,D,1.5,1778.313302,15.7,5103.821656,20.82,48.03,68.85
Yield Test 1,Cas,2019,N18-1586,5,1,23,P,48,2,T,34,D,1.5,1689.541891,13.7,5556.934307,21.74,45.26,67
Yield Test 1,Cas,2019,N18-1737,28,1,24,P,46,2,T,26,D,1.5,1788.965872,14.6,5521.232877,21.5,46.08,67.58
Yield Test 1,Cas,2019,N18-1660,19,1,25,W,51,1.5,T,34,D,1,2049.509965,15.4,5996.753247,22.87,42.24,65.11
Yield Test 1,Cas,2019,Osage,43,1,26,P,49,2,G,18,D,1,1740.807381,14.3,5485.314685,22.27,43.59,65.86
Yield Test 1,Cas,2019,N18-1724,26,1,27,W,50,2.5,T,26,D,1.5,1689.985748,14.6,5215.753425,21.99,43.92,65.91
Yield Test 1,Cas,2019,N18-1661,20,1,28,P,48,2,T,27,D,1.5,1692.64889,14.5,5260,24.3,41.04,65.34
Yield Test 1,Cas,2019,N18-1761,31,1,29,P,49,1.5,T,28,D,1,1652.479826,14.5,5135.172414,21.71,47.39,69.1
Yield Test 1,Cas,2019,N18-1655,17,1,30,W,48,1.5,T,30,D,1,1860.426858,14.6,5741.780822,20.72,45.97,66.69
Yield Test 1,Cas,2019,N18-1643,16,1,31,W,50,1.5,T,24,D,1,2306.059344,14.7,7068.707483,22.93,43.34,66.27
Yield Test 1,Cas,2019,Dunphy,44,1,32,P,51,1.5,T,30,D,1,1821.589365,16.5,4974.545455,22.64,40.2,62.84
Yield Test 1,Cas,2019,N18-1622,13,1,33,P,46,2,T,30,D,1.5,1921.457203,15.7,5514.649682,22.36,43.17,65.53
Yield Test 1,Cas,2019,N18-1820,40,1,34,P,50,1.5,T,26,D,1.5,1799.396513,16.1,5036.024845,23.13,42.47,65.6
Yield Test 1,Cas,2019,N18-1803,37,1,35,W,51,1.5,T,28,D,1.5,2143.385732,13.5,7154.074074,21.89,43.87,65.76
Yield Test 1,Cas,2019,N18-1704,24,1,36,P,45,1.5,T,32,D,1.5,2030.202183,14.5,6308.965517,21.14,44.8,65.94
Yield Test 1,Cas,2019,N18-1719,25,1,37,S,49,1.5,T,32,I,1.5,1418.567157,14.3,4469.93007,22.67,44.51,67.18
Yield Test 1,Cas,2019,N18-1569,1,1,38,W,49,1,T,32,D,1,1725.938169,13.4,5803.731343,23.48,41.97,65.45
Yield Test 1,Cas,2019,N18-1626,14,1,39,P,48,1,T,30,D,1,1530.862993,15.2,4538.157895,20.43,48,68.43
Yield Test 1,Cas,2019,N18-1617,11,1,40,W,48,1,T,38,D,1,2031.755682,13.9,6586.330935,22.04,43.77,65.81
Yield Test 1,Cas,2019,N18-1807,38,1,41,P,48,1.5,T,28,D,1,1903.480993,14.8,5795.27027,22.77,42.65,65.42
Yield Test 1,Cas,2019,N18-1783,34,1,42,P,48,2,T,34,D,1.5,1758.339735,14.4,5502.083333,22.19,45.03,67.22
Yield Test 1,Cas,2019,N18-1601,7,1,43,P,50,2,T,32,D,1.5,1663.132396,14.6,5132.876712,20.99,45.48,66.47
Yield Test 1,Cas,2019,LMN09-119,41,1,44,P,46,4,T,24,D,1.5,2033.531111,18.1,5062.430939,20.73,47.91,68.64
Yield Test 1,Cas,2019,N18-1792,35,1,45,P,48,1.5,T,24,D,1.5,1704.189174,16.9,4543.786982,21.66,46.4,68.06
Yield Test 1,Cas,2019,N18-1758,30,2,46,P,51,1.5,T,30,D,1.5,1813.156081,17.8,4589.88764,22.03,45.23,67.26
Yield Test 1,Cas,2019,N18-1617,11,2,47,W,49,1.5,T,34,D,1.5,1899.708208,12.4,6903.225806,22.9,40.98,63.88
Yield Test 1,Cas,2019,LMN09-119,41,2,48,P,48,3.5,T,22,D,3.5,1666.239395,18.2,4125.274725,20.19,49.04,69.23
Yield Test 1,Cas,2019,N18-1701,23,2,49,W,48,1.5,T,40,D,1.5,1846.445361,15.4,5402.597403,20.51,48.51,69.02
Yield Test 1,Cas,2019,N18-1719,25,2,50,S,49,2.5,T,36,D,2,1968.72798,15.2,5836.184211,22.55,44.1,66.65
Yield Test 1,Cas,2019,Roy,45,2,51,W,55,1.5,G,40,I,1.5,2106.767525,13.8,6878.985507,21.79,42.99,64.78
Yield Test 1,Cas,2019,N18-1724,26,2,52,W,50,2,T,36,I,2,1859.095287,14.7,5698.639456,22.74,43,65.74
Yield Test 1,Cas,2019,N18-1803,37,2,53,W,51,1.5,T,28,D,1.5,2118.529737,14.2,6722.535211,22.28,42.48,64.76
Yield Test 1,Cas,2019,Osage,43,2,54,P,48,1.5,G,22,D,1,1856.876002,12.6,6640.47619,22.27,42.31,64.58
Yield Test 1,Cas,2019,N18-1783,34,2,55,P,48,1.5,T,32,D,1.5,2510.899376,15.4,7346.753247,22.63,44.64,67.27
Yield Test 1,Cas,2019,N18-1792,35,2,56,P,48,1.5,T,26,D,1,1901.483636,17.1,5010.526316,21.22,47.24,68.46
Yield Test 1,Cas,2019,N18-1728,27,2,57,W,50,1.5,T,36,I,1.5,1942.318485,15.5,5646.451613,21.96,43.07,65.03
Yield Test 1,Cas,2019,N18-1669,22,2,58,P,57,1,T,26,D,1,1943.428128,18,4865,22.58,43.78,66.36
