Test,Loc,Year,Genotype,Code,Rep,Plot,FC,MD,AgScore,PB,HT,DET,LOD,Yield,SDWT,Estimated_Seed_Count,Oil,Protein,Protein_Plus_Oil
Yield Test 1,Ply,2019,N18-1803,37,3,110,W,51,3.5,T,36,D,3,2900.162016,NA,NA,21.8,43.48,65.28
Yield Test 1,Ply,2019,N18-1807,38,1,34,P,49,3,T,32,D,2.5,2488.262666,15.7,7141.401274,22.22,44.69,66.91
Yield Test 1,Ply,2019,N18-1807,38,2,71,P,50,2.5,T,37,D,3,2492.701237,16.2,6933.333333,21.3,45.4,66.7
Yield Test 1,Ply,2019,N18-1807,38,3,122,P,50,3,T,39,D,3,2859.771024,NA,NA,21.27,44.5,65.77
Yield Test 1,Ply,2019,N18-1814,39,1,20,P,49,3,T,35,D,3,2446.096246,13.4,8225.373134,20.38,46.59,66.97
Yield Test 1,Ply,2019,N18-1814,39,2,72,P,50,2.5,T,34,D,3.5,2748.362902,13.3,9311.278195,21.45,44.97,66.42
Yield Test 1,Ply,2019,N18-1814,39,3,118,P,49,2,T,37,D,2,2748.584831,NA,NA,20.92,45.16,66.08
Yield Test 1,Ply,2019,N18-1820,40,1,40,P,47,2,T,36,D,2,2786.534609,16,7847.5,22.57,43.17,65.74
Yield Test 1,Ply,2019,N18-1820,40,2,54,P,51,3,T,35,D,3,2817.382675,17.3,7338.150289,22.75,43.78,66.53
Yield Test 1,Ply,2019,N18-1820,40,3,101,P,50,3.5,T,32,I,3,3117.651974,NA,NA,22,43.44,65.44
Yield Test 1,Ply,2019,Osage,43,1,41,P,49,2.5,G,28,D,2,2538.862371,13.1,8732.824427,21.86,44.42,66.28
Yield Test 1,Ply,2019,Osage,43,2,47,P,49,2.5,G,32,D,3,2585.023505,12.3,9469.918699,21.62,44.51,66.13
Yield Test 1,Ply,2019,Osage,43,3,113,P,49,2.5,G,37,D,2,3042.196275,NA,NA,21.29,45.03,66.32
Yield Test 1,Ply,2019,Roy,45,1,26,W,51,2.5,T,40,D,2,2647.163493,12.8,9318.75,21.3,43.05,64.35
Yield Test 1,Ply,2019,Roy,45,2,60,W,51,3.5,T,34,I,3,2578.809506,13.1,8870.229008,21.79,42.55,64.34
Yield Test 1,Ply,2019,Roy,45,3,121,W,52,3.5,G,37,D,2,3002.027211,NA,NA,22.1,42.44,64.54
Yield Test 2,Ply,2019,Dunphy,89,1,29,P,51,2,G,27,D,2,2318.70927,15.7,6654.77707,22.58,40.85,63.43
Yield Test 2,Ply,2019,Dunphy,89,2,79,P,50,2.5,G,37,D,3,2791.860894,15.1,8331.125828,22.55,41.72,64.27
Yield Test 2,Ply,2019,Dunphy,89,3,101,P,51,2,G,32,D,2,3081.477624,NA,NA,22.78,40.31,63.09
Yield Test 2,Ply,2019,LMN09-119,86,1,26,P,49,3.5,T,36,D,3,2237.039572,16.6,6072.289157,19.6,50.13,69.73
Yield Test 2,Ply,2019,LMN09-119,86,2,87,P,49,4,T,38,D,3,2188.215295,17.5,5634.285714,19.98,49.33,69.31
Yield Test 2,Ply,2019,LMN09-119,86,3,132,P,51,4,T,38,I,3.5,2177.118869,NA,NA,19.43,51.07,70.5
Yield Test 2,Ply,2019,N09-09,87,1,28,P,51,2.5,S,38,I,2,2696.875484,17.2,7065.116279,21.52,46.22,67.74
Yield Test 2,Ply,2019,N09-09,87,2,77,P,52,3,S,37,D,2,2776.547825,16.6,7536.746988,20.65,46.97,67.62
Yield Test 2,Ply,2019,N09-09,87,3,133,P,51,2,S,42,D,2.5,2950.095935,NA,NA,21.48,46.18,67.66
Yield Test 2,Ply,2019,N18-1561,46,1,36,W,51,2.5,T,40,D,2.5,2647.163493,16.7,7142.51497,21.61,45.48,67.09
Yield Test 2,Ply,2019,N18-1561,46,2,76,W,50,2.5,T,39,D,2,2555.728939,13.9,8284.892086,22.04,43.52,65.56
Yield Test 2,Ply,2019,N18-1561,46,3,109,W,49,2,T,43,D,3,2523.105445,NA,NA,22.19,42.17,64.36
Yield Test 2,Ply,2019,N18-1564,47,1,38,W,50,2,T,38,D,2,2611.876857,15.7,7496.178344,22.7,42.58,65.28
Yield Test 2,Ply,2019,N18-1564,47,2,60,W,51,2.5,T,39,D,2.5,2839.575528,16.1,7947.204969,22.86,42.7,65.56
Yield Test 2,Ply,2019,N18-1564,47,3,96,W,55,2,T,42,D,2,2954.090649,NA,NA,22.54,43.28,65.82
Yield Test 2,Ply,2019,N18-1572,48,1,8,P,50,3,T,34,D,3,2730.164763,16,7688.75,22.75,44.44,67.19
Yield Test 2,Ply,2019,N18-1572,48,2,52,P,50,3,T,40,D,2.5,2691.32727,17.2,7050.581395,22.58,44.11,66.69
Yield Test 2,Ply,2019,N18-1572,48,3,93,P,51,2.5,T,44,D,2.5,3023.776207,NA,NA,23.65,41.61,65.26
Yield Test 2,Ply,2019,N18-1575,49,1,37,W,50,2.5,T,39,I,2,2649.382778,18.4,6488.043478,21.27,48.92,70.19
Yield Test 2,Ply,2019,N18-1575,49,2,82,S,50,2,T,39,I,2,2891.728732,17.6,7403.409091,21.36,46.87,68.23
Yield Test 2,Ply,2019,N18-1575,49,3,122,W,51,3,T,40,D,2.5,2964.299361,NA,NA,21.19,48.41,69.6
Yield Test 2,Ply,2019,N18-1579,50,1,44,S,49,2.5,T,41,D,2.5,2781.208325,15.8,7931.64557,22.32,43.6,65.92
Yield Test 2,Ply,2019,N18-1579,50,2,47,S,49,3,T,35,D,3,2741.483118,15.3,8073.856209,22.06,44.25,66.31
Yield Test 2,Ply,2019,N18-1579,50,3,119,S,50,3,T,46,I,3,2984.051,NA,NA,23.94,40.47,64.41
Yield Test 2,Ply,2019,N18-1595,51,1,25,P,49,2,T,33,D,2,3099.009978,15.2,9186.842105,21.35,45.4,66.75
Yield Test 2,Ply,2019,N18-1595,51,2,75,P,52,2.5,T,42,D,2.5,2829.366815,15.8,8068.987342,21.26,45.61,66.87
Yield Test 2,Ply,2019,N18-1595,51,3,121,P,51,3,T,38,D,3,2890.841018,NA,NA,21.13,45.41,66.54
Yield Test 2,Ply,2019,N18-1597,52,1,21,S,51,2,T,39,D,2,2764.785613,15.7,7935.031847,22.55,44.24,66.79
Yield Test 2,Ply,2019,N18-1597,52,2,63,S,51,2.5,T,35,D,3,2906.376015,15.8,8288.607595,23.49,42.24,65.73
Yield Test 2,Ply,2019,N18-1597,52,3,91,S,52,3,T,41,D,3,2574.814793,NA,NA,22.48,43.72,66.2
Yield Test 2,Ply,2019,N18-1604,53,1,14,P,50,3,T,43,D,3,2743.924332,16.1,7679.503106,22.98,43.38,66.36
Yield Test 2,Ply,2019,N18-1604,53,2,54,P,51,3.5,T,36,D,3.5,3118.539688,16.6,8465.060241,22.58,44.11,66.69
Yield Test 2,Ply,2019,N18-1604,53,3,118,P,52,4,T,40,I,3.5,3308.732438,NA,NA,23.27,42.32,65.59
Yield Test 2,Ply,2019,N18-1608,54,1,27,S,50,1.5,T,38,D,1.5,2767.226827,14.8,8425,21.16,43.97,65.13
Yield Test 2,Ply,2019,N18-1608,54,2,73,P,52,2.5,T,41,D,2.5,2757.905829,13.9,8940.28777,21.58,42.72,64.3
Yield Test 2,Ply,2019,N18-1608,54,3,126,S,52,3,T,45,I,2.5,3223.289954,NA,NA,21.15,44.59,65.74
Yield Test 2,Ply,2019,N18-1614,55,1,39,W,49,3,T,36,D,2.5,2101.885097,14.4,6577.083333,20.54,46.02,66.56
Yield Test 2,Ply,2019,N18-1614,55,2,70,W,49,2.5,T,40,D,2,2371.084403,14,7631.428571,20.66,45.94,66.6
Yield Test 2,Ply,2019,N18-1614,55,3,135,W,51,2.5,T,41,D,2.5,2691.105342,NA,NA,19.93,46.78,66.71
Yield Test 2,Ply,2019,N18-1620,56,1,11,S,50,2.5,T,36,D,2.5,3191.998032,15,9588.666667,22.64,43.09,65.73
Yield Test 2,Ply,2019,N18-1620,56,2,84,S,51,2,T,44,D,2,3284.764157,14.3,10350.34965,22.67,42.44,65.11
Yield Test 2,Ply,2019,N18-1620,56,3,128,P,50,3,T,40,D,3,3379.749567,NA,NA,22.08,42.74,64.82
Yield Test 2,Ply,2019,N18-1628,57,1,2,P,51,3.5,T,40,D,3,2617.646999,14.7,8023.809524,20.46,49.43,69.89
Yield Test 2,Ply,2019,N18-1628,57,2,57,P,52,3.5,T,40,D,3,2680.008915,14.3,8444.755245,20.28,48.99,69.27
Yield Test 2,Ply,2019,N18-1628,57,3,113,P,50,3.5,T,47,I,3.5,2549.293012,NA,NA,21.24,45.67,66.91
Yield Test 2,Ply,2019,N18-1630,58,1,33,W,49,1.5,T,31,D,2,2561.942938,16.9,6830.769231,20,47.08,67.08
Yield Test 2,Ply,2019,N18-1630,58,2,46,W,49,1.5,T,32,D,1.5,2666.027418,16.7,7193.413174,20.49,46.46,66.95
Yield Test 2,Ply,2019,N18-1630,58,3,104,W,51,2,T,40,D,2,3217.297884,NA,NA,20.39,46.46,66.85
Yield Test 2,Ply,2019,N18-1632,59,1,19,W,52,3.5,T,36,D,3,2564.162223,15.6,7406.410256,22.48,44.99,67.47
Yield Test 2,Ply,2019,N18-1632,59,2,58,W,51,3,T,39,D,3.5,2741.926975,14.9,8291.946309,22.55,44.9,67.45
Yield Test 2,Ply,2019,N18-1632,59,3,120,W,51,3,T,42,D,2,3322.492007,NA,NA,22.92,43.66,66.58
Yield Test 2,Ply,2019,N18-1633,60,1,5,W,49,2.5,T,36,D,3,2682.228201,17.1,7067.836257,21.61,44.16,65.77
Yield Test 2,Ply,2019,N18-1633,60,2,78,W,49,3,T,36,D,3,2824.262459,16.1,7904.347826,21.72,43.75,65.47
Yield Test 2,Ply,2019,N18-1633,60,3,98,W,50,2,T,33,D,2,2425.90075,NA,NA,22.23,41.17,63.4
Yield Test 2,Ply,2019,N18-1635,61,1,1,W,56,3,T,44,D,3,3183.12089,16.4,8745.731707,22.96,43.47,66.43
Yield Test 2,Ply,2019,N18-1635,61,2,88,W,53,2,T,42,D,2,2872.642878,16.1,8039.751553,22.53,43.13,65.66
Yield Test 2,Ply,2019,N18-1635,61,3,112,W,54,3.5,T,47,I,3.5,2782.317967,NA,NA,23.15,42.96,66.11
Yield Test 2,Ply,2019,N18-1641,62,1,35,P,53,2.5,T,39,D,2.5,3020.891136,15.8,8615.189873,23,42.71,65.71
Yield Test 2,Ply,2019,N18-1641,62,2,85,P,55,3,T,36,D,2.5,3203.760244,14.9,9688.590604,22.37,43.19,65.56
Yield Test 2,Ply,2019,N18-1641,62,3,108,P,50,3.5,T,40,D,3,3156.267538,NA,NA,23.34,42.36,65.7
Yield Test 2,Ply,2019,N18-1645,63,1,30,P,50,2.5,T,33,D,2.5,2390.836042,13.4,8039.552239,20.82,45.66,66.48
Yield Test 2,Ply,2019,N18-1645,63,2,48,P,50,2.5,T,36,D,2.5,2893.060303,14.4,9052.777778,20.8,46.07,66.87
Yield Test 2,Ply,2019,N18-1645,63,3,131,P,51,3.5,T,38,D,3,2796.96525,NA,NA,22.01,42.61,64.62
